Episodio,Recompensa_Acumulada
1,-2467
2,-114
3,-345
4,-742
5,-407
6,-149
7,-264
8,-507
9,-776
10,-194
11,-238
12,-110
13,-237
14,-58
15,-124
16,-247
17,-80
18,-260
19,-49
20,-86
21,-39
22,-372
23,-97
24,-275
25,-43
26,-85
27,-58
28,-96
29,-323
30,-89
31,-67
32,-544
33,-224
34,-89
35,-167
36,-51
37,-222
38,-313
39,-68
40,-195
41,-149
42,-54
43,-38
44,-40
45,-65
46,-51
47,-40
48,-33
49,-193
50,-60
51,-27
52,-47
53,-42
54,-52
55,-189
56,-44
57,-155
58,-157
59,-33
60,-270
61,-182
62,-45
63,-73
64,-299
65,-35
66,-17
67,-299
68,-24
69,-181
70,-130
71,-41
72,-33
73,-55
74,-155
75,-54
76,-34
77,-27
78,-47
79,-27
80,-49
81,-37
82,-51
83,-49
84,-33
85,-23
86,-23
87,-33
88,-56
89,-31
90,-32
91,-166
92,-181
93,-19
94,-146
95,-35
96,-21
97,-25
98,-62
99,-63
100,-261
101,-36
102,-27
103,-27
104,-45
105,-25
106,-25
107,-28
108,-140
109,-23
110,-137
111,-38
112,-35
113,-35
114,-33
115,-236
116,-279
117,-17
118,-41
119,-151
120,-24
121,-44
122,-25
123,-22
124,-137
125,-42
126,-21
127,-38
128,-143
129,-27
130,-129
131,-356
132,-13
133,-26
134,-131
135,-24
136,-126
137,-19
138,-21
139,-26
140,-36
141,-15
142,-41
143,-19
144,-26
145,-130
146,-23
147,-38
148,-127
149,-16
150,-143
151,-28
152,-39
153,-33
154,-25
155,-21
156,-19
157,-21
158,-27
159,-135
160,-27
161,-26
162,-32
163,-21
164,-27
165,-15
166,-376
167,-23
168,-27
169,-13
170,-27
171,-130
172,-135
173,-26
174,-27
175,-138
176,-28
177,-21
178,-23
179,-17
180,-20
181,-135
182,-21
183,-25
184,-34
185,-17
186,-17
187,-135
188,-126
189,-18
190,-15
191,-19
192,-21
193,-23
194,-19
195,-33
196,-26
197,-17
198,-23
199,-124
200,-15
201,-19
202,-23
203,-19
204,-24
205,-19
206,-21
207,-238
208,-21
209,-26
210,-13
211,-29
212,-127
213,-30
214,-20
215,-19
216,-13
217,-21
218,-224
219,-127
220,-30
221,-13
222,-15
223,-31
224,-19
225,-120
226,-21
227,-15
228,-13
229,-17
230,-13
231,-19
232,-18
233,-238
234,-19
235,-243
236,-17
237,-15
238,-18
239,-13
240,-13
241,-13
242,-26
243,-34
244,-15
245,-13
246,-115
247,-13
248,-127
249,-13
250,-13
251,-29
252,-122
253,-13
254,-134
255,-19
256,-13
257,-13
258,-17
259,-17
260,-15
261,-129
262,-13
263,-25
264,-14
265,-19
266,-15
267,-22
268,-17
269,-124
270,-116
271,-17
272,-13
273,-19
274,-13
275,-17
276,-16
277,-13
278,-13
279,-17
280,-21
281,-13
282,-15
283,-13
284,-15
285,-120
286,-13
287,-16
288,-13
289,-13
290,-223
291,-16
292,-125
293,-13
294,-30
295,-15
296,-17
297,-115
298,-15
299,-124
300,-119
301,-125
302,-14
303,-13
304,-31
305,-123
306,-13
307,-113
308,-17
309,-13
310,-13
311,-29
312,-15
313,-17
314,-15
315,-13
316,-226
317,-17
318,-15
319,-117
320,-122
321,-118
322,-13
323,-17
324,-15
325,-13
326,-15
327,-14
328,-344
329,-15
330,-15
331,-116
332,-14
333,-13
334,-134
335,-15
336,-13
337,-13
338,-13
339,-121
340,-115
341,-13
342,-15
343,-431
344,-222
345,-17
346,-226
347,-13
348,-18
349,-17
350,-13
351,-15
352,-237
353,-13
354,-235
355,-15
356,-15
357,-13
358,-13
359,-227
360,-15
361,-16
362,-119
363,-15
364,-13
365,-17
366,-21
367,-13
368,-115
369,-13
370,-17
371,-15
372,-17
373,-13
374,-17
375,-15
376,-15
377,-13
378,-14
379,-17
380,-15
381,-15
382,-13
383,-123
384,-228
385,-13
386,-115
387,-115
388,-135
389,-117
390,-16
391,-13
392,-15
393,-15
394,-13
395,-118
396,-13
397,-127
398,-13
399,-15
400,-120
401,-17
402,-13
403,-226
404,-122
405,-13
406,-22
407,-15
408,-15
409,-221
410,-18
411,-15
412,-13
413,-121
414,-17
415,-13
416,-15
417,-119
418,-15
419,-16
420,-134
421,-13
422,-14
423,-126
424,-226
425,-13
426,-18
427,-15
428,-225
429,-13
430,-17
431,-15
432,-15
433,-13
434,-124
435,-15
436,-17
437,-26
438,-13
439,-223
440,-22
441,-17
442,-15
443,-13
444,-13
445,-215
446,-13
447,-15
448,-15
449,-13
450,-15
451,-121
452,-113
453,-15
454,-19
455,-13
456,-125
457,-13
458,-13
459,-120
460,-15
461,-15
462,-17
463,-16
464,-116
465,-13
466,-13
467,-16
468,-23
469,-17
470,-15
471,-13
472,-16
473,-15
474,-17
475,-15
476,-15
477,-15
478,-29
479,-14
480,-15
481,-15
482,-13
483,-13
484,-15
485,-13
486,-13
487,-15
488,-18
489,-15
490,-17
491,-125
492,-15
493,-13
494,-13
495,-15
496,-13
497,-123
498,-19
499,-23
500,-13
501,-126
502,-127
503,-13
504,-15
505,-13
506,-13
507,-15
508,-17
509,-14
510,-15
511,-19
512,-13
513,-15
514,-15
515,-121
516,-122
517,-228
518,-117
519,-15
520,-15
521,-19
522,-119
523,-15
524,-221
525,-13
526,-120
527,-13
528,-15
529,-30
530,-13
531,-15
532,-15
533,-15
534,-15
535,-13
536,-118
537,-13
538,-19
539,-13
540,-119
541,-13
542,-13
543,-13
544,-125
545,-13
546,-13
547,-113
548,-118
549,-223
550,-13
551,-13
552,-14
553,-15
554,-220
555,-14
556,-15
557,-115
558,-17
559,-17
560,-17
561,-15
562,-15
563,-115
564,-15
565,-13
566,-13
567,-13
568,-17
569,-15
570,-13
571,-13
572,-13
573,-15
574,-13
575,-13
576,-19
577,-14
578,-13
579,-14
580,-17
581,-26
582,-15
583,-18
584,-19
585,-115
586,-13
587,-15
588,-13
589,-19
590,-17
591,-118
592,-19
593,-117
594,-15
595,-13
596,-128
597,-13
598,-19
599,-15
600,-13
601,-117
602,-117
603,-17
604,-18
605,-15
606,-13
607,-15
608,-19
609,-228
610,-15
611,-15
612,-116
613,-13
614,-15
615,-20
616,-15
617,-13
618,-123
619,-15
620,-119
621,-18
622,-13
623,-21
624,-21
625,-15
626,-15
627,-13
628,-126
629,-13
630,-223
631,-119
632,-15
633,-15
634,-118
635,-13
636,-24
637,-13
638,-13
639,-219
640,-37
641,-15
642,-15
643,-19
644,-13
645,-334
646,-17
647,-17
648,-126
649,-13
650,-13
651,-15
652,-115
653,-336
654,-13
655,-117
656,-15
657,-15
658,-13
659,-17
660,-17
661,-119
662,-123
663,-113
664,-15
665,-15
666,-17
667,-13
668,-122
669,-125
670,-13
671,-15
672,-13
673,-13
674,-13
675,-13
676,-13
677,-15
678,-16
679,-126
680,-15
681,-13
682,-336
683,-19
684,-13
685,-16
686,-20
687,-13
688,-13
689,-116
690,-123
691,-13
692,-13
693,-16
694,-125
695,-15
696,-118
697,-113
698,-121
699,-233
700,-119
701,-353
702,-17
703,-13
704,-15
705,-15
706,-17
707,-127
708,-122
709,-15
710,-15
711,-15
712,-13
713,-115
714,-16
715,-19
716,-235
717,-17
718,-13
719,-13
720,-13
721,-13
722,-23
723,-13
724,-13
725,-123
726,-13
727,-13
728,-15
729,-120
730,-19
731,-13
732,-120
733,-13
734,-15
735,-17
736,-128
737,-15
738,-13
739,-13
740,-124
741,-13
742,-13
743,-15
744,-228
745,-229
746,-13
747,-122
748,-122
749,-15
750,-231
751,-29
752,-15
753,-15
754,-13
755,-13
756,-15
757,-19
758,-13
759,-14
760,-13
761,-13
762,-126
763,-13
764,-113
765,-16
766,-229
767,-224
768,-116
769,-124
770,-17
771,-13
772,-13
773,-15
774,-14
775,-13
776,-15
777,-117
778,-120
779,-13
780,-13
781,-13
782,-13
783,-17
784,-15
785,-13
786,-13
787,-13
788,-18
789,-237
790,-13
791,-122
792,-15
793,-14
794,-13
795,-19
796,-13
797,-15
798,-13
799,-19
800,-13
801,-15
802,-13
803,-13
804,-13
805,-113
806,-19
807,-19
808,-16
809,-13
810,-13
811,-13
812,-15
813,-13
814,-17
815,-127
816,-15
817,-13
818,-13
819,-13
820,-127
821,-15
822,-239
823,-13
824,-17
825,-119
826,-13
827,-431
828,-17
829,-14
830,-15
831,-13
832,-14
833,-118
834,-13
835,-15
836,-15
837,-17
838,-13
839,-329
840,-13
841,-17
842,-118
843,-13
844,-14
845,-234
846,-13
847,-15
848,-15
849,-14
850,-220
851,-13
852,-230
853,-118
854,-13
855,-15
856,-118
857,-13
858,-13
859,-17
860,-337
861,-15
862,-14
863,-15
864,-116
865,-17
866,-13
867,-15
868,-16
869,-13
870,-118
871,-13
872,-13
873,-13
874,-13
875,-117
876,-15
877,-13
878,-127
879,-21
880,-13
881,-13
882,-13
883,-13
884,-13
885,-125
886,-15
887,-15
888,-13
889,-15
890,-17
891,-15
892,-13
893,-230
894,-13
895,-15
896,-14
897,-17
898,-122
899,-120
900,-13
901,-18
902,-344
903,-13
904,-15
905,-13
906,-13
907,-122
908,-25
909,-236
910,-123
911,-13
912,-14
913,-123
914,-128
915,-113
916,-15
917,-13
