Episodio,Recompensa_Acumulada
1,-731
2,-695
3,-587
4,-713
5,-731
6,-533
7,-758
8,-488
9,-506
10,-713
11,-389
12,-299
13,-398
14,-659
15,-731
16,-277
17,-407
18,-446
19,-236
20,-226
21,-668
22,-632
23,-317
24,-758
25,-239
26,-422
27,-407
28,-686
29,-281
30,-623
31,-380
32,-290
33,-263
34,-290
35,-425
36,-272
37,-290
38,-263
39,4
40,-470
41,-356
42,-290
43,-263
44,-272
45,-50
46,-236
47,-281
48,-245
49,-254
50,-263
51,-140
52,-155
53,-245
54,-254
55,-326
56,-281
57,-50
58,-116
59,-263
60,-227
61,-371
62,-103
63,-194
64,-236
65,-257
66,-236
67,-263
68,-470
69,-290
70,-299
71,-152
72,-141
73,-272
74,-398
75,-263
76,-416
77,-168
78,-245
79,-254
80,-218
81,-353
82,-353
83,-299
84,-263
85,-196
86,-227
87,-159
88,-344
89,-102
90,-290
91,-245
92,-407
93,-245
94,-286
95,-227
96,-416
97,-263
98,-317
99,-254
100,-330
101,-281
102,-173
103,-389
104,-281
105,-245
106,-236
107,-263
108,-407
109,-86
110,-299
111,-245
112,-55
113,-272
114,-290
115,-263
116,-290
117,-308
118,-470
119,-236
120,-251
121,-8
122,-326
123,-165
124,-254
125,-84
126,-308
127,-146
128,-371
129,-317
130,-245
131,-398
132,-85
133,-250
134,-281
135,-156
136,-263
137,-197
138,-226
139,-250
140,-290
141,-227
142,-14
143,-245
144,-254
145,-290
146,-322
147,-82
148,-138
149,-299
150,-407
151,-434
152,-254
153,-202
154,-167
155,-299
156,-87
157,-254
158,-236
159,-317
160,-452
161,-281
162,-299
163,-389
164,-149
165,-353
166,-335
167,-149
168,-210
169,-44
170,-335
171,-187
172,-35
173,-106
174,-203
175,-16
176,-100
177,-229
178,-317
179,-96
180,-70
181,-299
182,-162
183,-269
184,-218
185,-272
186,-317
187,-236
188,-272
189,-186
190,-236
191,-353
192,-75
193,-156
194,-170
195,-207
196,-105
197,-227
198,-290
199,-28
200,-129
201,-137
202,-272
203,-64
204,-221
205,-353
206,-131
207,-175
208,-141
209,-308
210,-213
211,-281
212,-317
213,-93
214,-227
215,-389
216,-8
217,-272
218,-178
219,-162
220,-97
221,-72
222,-91
223,-208
224,-38
225,-152
226,-204
227,-166
228,-125
229,-425
230,-216
231,-219
232,-191
233,-163
234,-73
235,-101
236,-199
237,-36
238,-299
239,-157
240,-72
241,-227
242,-335
243,-91
244,-271
245,-136
246,-281
247,-246
248,-204
249,-156
250,-207
251,-36
252,-290
253,-39
254,-176
255,-263
256,-145
257,-254
258,-178
259,-151
260,-116
261,-16
262,-254
263,-326
264,-190
265,-4
266,-19
267,-231
268,-98
269,-398
270,-219
271,-244
272,-50
273,-200
274,-111
275,-290
276,-31
277,-202
278,-281
279,-13
280,-281
281,4
282,-232
283,-113
284,-62
285,-87
286,-180
287,-75
288,-290
289,-138
290,-12
291,-42
292,-99
293,-213
294,-182
295,-243
296,-147
297,-290
298,-254
299,-236
300,-182
301,-183
302,-38
303,-59
304,-63
305,-69
306,-105
307,-272
308,-116
309,-281
310,-58
311,-294
312,-56
313,-344
314,-14
315,-254
316,-170
317,-273
318,-66
319,-281
320,-1
321,-41
322,-70
323,-344
324,-23
325,-79
326,1
327,-59
328,-37
329,3
330,-263
331,-41
332,-112
333,-62
334,-204
335,-317
336,-152
337,-39
338,-99
339,-199
340,-272
341,-434
342,-62
343,-48
344,-37
345,4
346,-317
347,-26
348,-97
349,3
350,-19
351,-145
352,-71
353,-109
354,-108
355,-19
356,-1
357,-6
358,-272
359,-213
360,-10
361,-227
362,-81
363,-1
364,-326
365,-135
366,-97
367,-120
368,-20
369,-235
370,-33
371,12
372,-254
373,-53
374,-326
375,-256
376,2
377,-171
378,-3
379,-191
380,-121
381,-126
382,-44
383,-24
384,-41
385,-81
386,-36
387,-71
388,-148
389,-131
390,-281
391,-52
392,-227
393,-88
394,-115
395,12
396,-193
397,-211
398,0
399,-148
400,-187
401,-47
402,-87
403,-253
404,-201
405,-62
406,-130
407,-89
408,-63
409,-6
410,-175
411,-171
412,-32
413,-119
414,-60
415,-103
416,-49
417,-40
418,-95
419,-248
420,-66
421,-127
422,-207
423,-49
424,-100
425,-29
426,-204
427,-57
428,-102
429,-128
430,-109
431,-131
432,-199
433,-94
434,10
435,14
436,2
437,-353
438,-79
439,-74
440,-182
441,-290
442,-225
443,14
444,4
445,-147
446,13
447,7
448,-159
449,-44
450,-16
451,-107
452,-134
453,-170
454,-46
455,-1
456,-354
457,-35
458,-42
459,-72
460,-27
461,-58
462,-140
463,-115
464,-14
465,9
466,-29
467,-86
468,6
469,-33
470,9
471,-17
472,-129
473,-112
474,11
475,-167
476,13
477,-63
478,-22
479,-10
480,-171
481,-260
482,-251
483,-121
484,-223
485,-56
486,-88
487,-26
488,-10
489,-69
490,-58
491,-134
492,-69
493,-112
494,-254
495,-17
496,-203
497,-120
498,10
499,13
500,-84
501,-193
502,-7
503,-82
504,-14
505,-126
506,2
507,-32
508,-317
509,-14
510,-32
511,-2
512,-112
513,-10
514,13
515,-32
516,-107
517,-29
518,-50
519,-290
520,-83
521,7
522,-61
523,-161
524,-195
525,-81
526,-55
527,-5
528,-123
529,-75
530,14
531,-129
532,-58
533,-54
534,8
535,-14
536,-97
537,12
538,-20
539,-1
540,-113
541,-23
542,-27
543,-77
544,-145
545,-180
546,-143
547,12
548,-6
549,-129
550,-196
551,-141
552,12
553,-165
554,-40
555,-119
556,-111
557,-71
558,-12
559,-22
560,5
561,-66
562,10
563,-172
564,-72
565,6
566,-65
567,-74
568,-67
569,-74
570,-185
571,-32
572,-226
573,-29
574,-160
575,-40
576,-21
577,-79
578,-96
579,-24
580,-20
581,-142
582,-56
583,-107
584,-41
585,-38
586,5
587,-106
588,4
589,-6
590,-112
591,-134
592,-11
593,-111
594,-35
595,-41
596,-90
597,13
598,9
599,-43
600,-17
601,-51
602,13
603,-21
604,-84
605,-137
606,-126
607,-66
608,-68
609,-70
610,-24
611,-36
612,11
613,-33
614,-80
615,-103
616,12
617,-200
618,-4
619,-70
620,-7
621,-51
622,4
623,-33
624,-11
625,-12
626,-88
627,-1
628,-148
629,-102
630,-27
631,-93
632,-5
633,2
634,-119
635,-82
636,-51
637,0
638,-77
639,-53
640,-75
641,-15
642,9
643,11
644,11
645,-70
646,-75
647,-29
648,11
649,13
650,-85
