Episodio,Recompensa_Acumulada
1,-2309
2,-378
3,-265
4,-291
5,-355
6,-287
7,-101
8,-451
9,-175
10,-206
11,-89
12,-69
13,-430
14,-295
15,-358
16,-138
17,-69
18,-591
19,-100
20,-90
21,-53
22,-232
23,-56
24,-64
25,-81
26,-288
27,-70
28,-152
29,-56
30,-81
31,-68
32,-157
33,-55
34,-99
35,-371
36,-248
37,-197
38,-40
39,-107
40,-47
41,-91
42,-66
43,-398
44,-42
45,-193
46,-271
47,-75
48,-34
49,-27
50,-52
51,-182
52,-157
53,-34
54,-33
55,-40
56,-46
57,-39
58,-40
59,-44
60,-472
61,-29
62,-91
63,-75
64,-31
65,-255
66,-38
67,-61
68,-23
69,-142
70,-27
71,-59
72,-180
73,-48
74,-25
75,-275
76,-43
77,-38
78,-144
79,-33
80,-47
81,-23
82,-41
83,-27
84,-33
85,-36
86,-19
87,-39
88,-21
89,-182
90,-40
91,-33
92,-33
93,-34
94,-27
95,-21
96,-35
97,-28
98,-134
99,-39
100,-53
101,-254
102,-48
103,-30
104,-21
105,-27
106,-36
107,-32
108,-21
109,-158
110,-25
111,-152
112,-22
113,-27
114,-30
115,-33
116,-27
117,-28
118,-22
119,-33
120,-25
121,-27
122,-40
123,-35
124,-45
125,-19
126,-49
127,-31
128,-158
129,-144
130,-27
131,-29
132,-37
133,-25
134,-19
135,-39
136,-117
137,-23
138,-33
139,-29
140,-19
141,-27
142,-21
143,-17
144,-23
145,-33
146,-28
147,-35
148,-21
149,-42
150,-24
151,-28
152,-29
153,-21
154,-25
155,-155
156,-132
157,-22
158,-135
159,-23
160,-23
161,-28
162,-43
163,-29
164,-23
165,-125
166,-37
167,-24
168,-29
169,-27
170,-35
171,-143
172,-31
173,-17
174,-19
175,-23
176,-23
177,-31
178,-31
179,-15
180,-32
181,-27
182,-24
183,-31
184,-25
185,-25
186,-27
187,-49
188,-25
189,-25
190,-31
191,-21
192,-25
193,-25
194,-28
195,-25
196,-32
197,-33
198,-35
199,-19
200,-25
201,-19
202,-30
203,-19
204,-20
205,-17
206,-21
207,-25
208,-22
209,-21
210,-19
211,-24
212,-17
213,-25
214,-24
215,-19
216,-25
217,-140
218,-17
219,-25
220,-25
221,-121
222,-30
223,-17
224,-27
225,-26
226,-17
227,-22
228,-23
229,-25
230,-19
231,-28
232,-21
233,-17
234,-19
235,-19
236,-17
237,-17
238,-23
239,-29
240,-35
241,-24
242,-19
243,-29
244,-21
245,-17
246,-25
247,-21
248,-30
249,-27
250,-19
251,-21
252,-23
253,-31
254,-22
255,-121
256,-17
257,-24
258,-17
259,-15
260,-25
261,-18
262,-19
263,-19
264,-23
265,-20
266,-17
267,-15
268,-19
269,-21
270,-15
271,-15
272,-20
273,-19
274,-15
275,-15
276,-119
277,-17
278,-15
279,-19
280,-17
281,-17
282,-17
283,-19
284,-15
285,-19
286,-27
287,-15
288,-15
289,-19
290,-15
291,-18
292,-15
293,-17
294,-15
295,-15
296,-19
297,-19
298,-19
299,-23
300,-20
301,-17
302,-21
303,-15
304,-15
305,-19
306,-15
307,-124
308,-21
309,-19
310,-25
311,-27
312,-20
313,-17
314,-21
315,-15
316,-17
317,-17
318,-19
319,-17
320,-233
321,-18
322,-25
323,-17
324,-17
325,-22
326,-23
327,-19
328,-19
329,-20
330,-125
331,-21
332,-25
333,-23
334,-24
335,-20
336,-17
337,-23
338,-18
339,-25
340,-22
341,-17
342,-30
343,-25
344,-17
345,-31
346,-22
347,-20
348,-17
349,-19
350,-17
351,-18
352,-17
353,-20
354,-24
355,-15
356,-19
357,-15
358,-17
359,-18
360,-15
361,-19
362,-23
363,-21
364,-17
365,-22
366,-20
367,-19
368,-25
369,-19
370,-23
371,-19
372,-23
373,-21
374,-17
375,-26
376,-21
377,-17
378,-18
379,-17
380,-18
381,-21
382,-21
383,-22
384,-26
385,-18
386,-18
387,-23
388,-19
389,-20
390,-27
391,-19
392,-20
393,-20
394,-17
395,-20
396,-23
397,-17
398,-22
399,-19
400,-25
