Episodio,Recompensa_Acumulada
1,-695
2,-560
3,-439
4,-668
5,-731
6,-659
7,-722
8,-794
9,-353
10,-713
11,-740
12,-542
13,-650
14,-434
15,-515
16,-353
17,-443
18,-353
19,-443
20,-713
21,-272
22,-551
23,-283
24,-263
25,-272
26,-542
27,-479
28,-227
29,-407
30,-389
31,-227
32,-245
33,-272
34,-254
35,-212
36,-416
37,-281
38,-443
39,-308
40,-236
41,-254
42,-272
43,-220
44,-245
45,-245
46,-434
47,-344
48,-236
49,-308
50,-344
51,-362
52,-407
53,-731
54,-335
55,-353
56,-281
57,-304
58,-97
59,-188
60,-416
61,-389
62,-214
63,-254
64,-254
65,-299
66,-434
67,-290
68,-221
69,-281
70,-164
71,-171
72,-299
73,-191
74,-281
75,-237
76,-416
77,-335
78,-281
79,-125
80,-344
81,-263
82,-83
83,-254
84,-326
85,-299
86,-290
87,-245
88,-85
89,-254
90,-353
91,-200
92,-305
93,-416
94,-99
95,-317
96,-335
97,-236
98,-126
99,-353
100,-272
101,-218
102,-443
103,-182
104,-226
105,-26
106,-124
107,-263
108,-89
109,-281
110,-281
111,-380
112,-121
113,-152
114,-260
115,-308
116,-181
117,-281
118,-119
119,-209
120,-317
121,-245
122,-200
123,-125
124,-281
125,-362
126,-155
127,-245
128,-225
129,-254
130,-389
131,-191
132,-122
133,-48
134,-353
135,-245
136,-14
137,-45
138,-299
139,-218
140,-326
141,-144
142,-119
143,-362
144,-254
145,-353
146,-245
147,-245
148,-102
149,-147
150,-122
151,-8
152,-272
153,-183
154,-290
155,-290
156,-443
157,-155
158,-398
159,-168
160,-245
161,-245
162,-209
163,-350
164,-254
165,-268
166,-159
167,-281
168,-227
169,-208
170,-263
171,-8
172,-147
173,-263
174,-70
175,-362
176,-175
177,-317
178,-95
179,-290
180,-55
181,-308
182,-124
183,-169
184,-38
185,-245
186,-87
187,-281
188,-290
189,-37
190,-119
191,-251
192,-281
193,-164
194,-218
195,-263
196,-353
197,-308
198,-326
199,-11
200,-362
201,-221
202,-245
203,-180
204,-156
205,-53
206,-3
207,-259
208,-326
209,-326
210,-169
211,-50
212,-308
213,-326
214,-27
215,-39
216,-159
217,-281
218,-362
219,-317
220,-189
221,-87
222,-113
223,1
224,-32
225,-263
226,-195
227,-33
228,-27
229,-202
230,-317
231,-416
232,-39
233,-111
234,-140
235,-173
236,-234
237,-78
238,-30
239,-326
240,-111
241,-36
242,-335
243,-290
244,-263
245,-133
246,-254
247,-71
248,-272
249,-245
250,-272
251,-263
252,-214
253,-56
254,-272
255,-5
256,-38
257,-147
258,-34
259,-312
260,-116
261,-57
262,-117
263,-245
264,-77
265,-34
266,-145
267,-218
268,-362
